Location,Latitude,Longitude,Site,Space_Center_Name,Country
"ELD, Guiana Space Centre, French Guiana, France",5.236,-52.768,ELD,Guiana Space Centre,France
"LC-576A1, Vandenberg AFB, California, USA",34.5843,-120.6269,LC-576A1,Vandenberg AFB,USA
"LA-5B, RAAF Woomera Range Complex, Australia",-30.9493,136.6186,LA-5B,RAAF Woomera Range Complex,Australia
"Site 161/35, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 161/35,Baikonur Cosmodrome,Kazakhstan
"LC-576A2, Vandenberg AFB, California, USA",34.5843,-120.6269,LC-576A2,Vandenberg AFB,USA
"Santa Rita 2, San Marco Launch Platform, Kenya",-2.934,40.212,Santa Rita 2,San Marco Launch Platform,Kenya
"Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China",40.9668,100.302,Site 5020 (LA-2A),Jiuquan Satellite Launch Center,China
"Site 191/66, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 191/66,Baikonur Cosmodrome,Kazakhstan
"Site 110/38, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 110/38,Baikonur Cosmodrome,Kazakhstan
"LC-34, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,LC-34,Cape Canaveral AFS,USA
"Site 41/15, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 41/15,Baikonur Cosmodrome,Kazakhstan
"Site 162, Baikonur Cosmodrome, Kazakhstan",45.9185,63.3426,Site 162,Baikonur Cosmodrome,Kazakhstan
"LC-12, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,LC-12,Cape Canaveral AFS,USA
"LC-576B3, Vandenberg AFB, California, USA",34.5843,-120.6269,LC-576B3,Vandenberg AFB,USA
"Brigitte, Hammaguir, Algeria, France",30.923,-3.067,Brigitte,Hammaguir,France
"LC-19, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,LC-19,Cape Canaveral AFS,USA
"LC-14, Cape Canaveral AFS, Florida, USA",28.4383,-80.5731,LC-14,Cape Canaveral AFS,USA
